to_chuc_xhtn,ngay_cong_bo,ngay_cong_bo_dt,to_chuc_phat_hanh,thang_diem,loai_hinh_chuan,linh_vuc,loai_xhtn_chuan,hanh_dong_chuan,bac_xhtn_chuan,bac_thu_tu,trien_vong_chuan,da_het_hieu_luc,theo_doi_ngan_han,bao_mat,phi_tren_5pc,ghi_chu_bac,ma_trai_phieu,ky_han,loai_rating_goc,bao_cao_vi,bao_cao_en,bao_cao_chi_tiet,link_to_chuc_phat_hanh,issuer_id,loai_hinh_goc,loai_y_kien_goc,trang_thai_goc,bac_xhtn_goc,trien_vong_goc,thoi_gian_scrape,file_nguon
Saigon Ratings,16/09/2026,2026-09-16,Công ty TNHH Đầu tư và Phát triển Đô thị Tiên Du,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Giám sát,BBB-,10.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh6t-tien_du-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBBB-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
VIS Rating,16/09/2026,2026-09-16,Công ty Cổ phần Tập đoàn Phượng Hoàng Xanh A&A,Quốc gia,Doanh nghiệp,,Tổ chức phát hành,Cập nhật,A,6.0,Ổn định,False,False,False,False,,,Dài hạn,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/202609_phenikaa_rating_announcement_vn.175.html,https://visrating.com/rating-results/report/202609_phenikaa_rating_announcement_en.175.html,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-tap-doan-phuong-hoang-xanh-aanda.5.html,5.0,Doanh nghiệp,Doanh nghiệp,Cập nhật,A,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
Saigon Ratings,15/09/2026,2026-09-15,Công ty Cổ phần Phát triển Bất động sản An Phúc,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Lần đầu,BB,12.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/xhtn-an_phuc-2026/,,,,,,Tổ chức phát hành,Xếp hạng lần đầu,vnBB,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,15/09/2026,2026-09-15,Công ty Cổ phần Phát triển Khu Công nghiệp và Đô thị Thủ Thừa,Quốc gia,,Cho thuê Bất động sản,Tổ chức phát hành,,,,,False,False,False,False,,,,,https://saigonratings.com/ktxh-thu_thua/,,,,,,Tổ chức phát hành,Kết thúc Xếp hạng,,,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,12/09/2026,2026-09-12,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Quốc gia,,Chăn nuôi,Tổ chức phát hành,,,,,False,False,False,False,,,,,https://saigonratings.com/ktxh-baf-2026/,,,,,,Tổ chức phát hành,Kết thúc Xếp hạng,,,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
VIS Rating,11/09/2026,2026-09-11,Công ty Cổ phần Chứng khoán LPS,Quốc gia,Định chế tài chính,,Tổ chức phát hành,Giám sát,A-,7.0,Ổn định,False,False,False,False,,,Dài hạn,,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-chung-khoan-lps.42.html,42.0,Định chế tài chính,Doanh nghiệp,Giám sát theo dõi,A-,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
Saigon Ratings,10/09/2026,2026-09-10,Công Ty Cổ phần Hàng Không VIETJET (VIETJET AIR),Quốc gia,,Hàng không,Tổ chức phát hành,Giám sát,BBB,9.0,Ổn định,False,False,False,False,,,,,,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBBB,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,08/09/2026,2026-09-08,Công ty Cổ phần Đầu tư và Phát triển LGP,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,A-,7.0,Ổn định,False,False,False,False,,LGPL12601,,,https://saigonratings.com/xhtp-lgpl12601-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnA-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Fitch Ratings,07/09/2026,2026-09-07,Hanoi Power Corporation,Quốc tế,,,Tổ chức phát hành,Giữ nguyên,BB+,11.0,Ổn định,False,False,False,False,,,Dài hạn,Long Term Issuer Default Rating,,,,https://www.fitchratings.com/entity/hanoi-power-corporation-96894665,96894665.0,,Tổ chức phát hành,Affirmed,BB+,Stable,2026-09-20 08:48:11,fitch_xhtn_20260920.csv
Fitch Ratings,07/09/2026,2026-09-07,Ho Chi Minh City Power Corporation,Quốc tế,,,Tổ chức phát hành,Kết thúc,WD,,,True,False,False,False,Đã rút xếp hạng,,Dài hạn,Long Term Issuer Default Rating,,,,https://www.fitchratings.com/entity/ho-chi-minh-city-power-corporation-97012847,97012847.0,,Tổ chức phát hành,Withdrawn,WD,,2026-09-20 08:48:11,fitch_xhtn_20260920.csv
Fitch Ratings,07/09/2026,2026-09-07,Northern Power Corporation,Quốc tế,,,Tổ chức phát hành,Giữ nguyên,BB+,11.0,Ổn định,False,False,False,False,,,Dài hạn,Long Term Issuer Default Rating,,,,https://www.fitchratings.com/entity/vietnam-electricity-northern-power-corporation-97068875,97068875.0,,Tổ chức phát hành,Affirmed,BB+,Stable,2026-09-20 08:48:11,fitch_xhtn_20260920.csv
Fitch Ratings,07/09/2026,2026-09-07,Southern Power Corporation,Quốc tế,,,Tổ chức phát hành,Kết thúc,WD,,,True,False,False,False,Đã rút xếp hạng,,Dài hạn,Long Term Issuer Default Rating,,,,https://www.fitchratings.com/entity/southern-power-corporation-97062655,97062655.0,,Tổ chức phát hành,Withdrawn,WD,,2026-09-20 08:48:11,fitch_xhtn_20260920.csv
VIS Rating,04/09/2026,2026-09-04,Công ty Cổ phần Chứng khoán Tiên Phong,Quốc gia,Định chế tài chính,,Tổ chức phát hành,Cập nhật,BBB+,8.0,Ổn định,False,False,False,False,,,Dài hạn,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-tps-04092026.173.html,https://visrating.com/rating-results/report/rating-announcement-tps-04092026.173.html,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/tien-phong-securities-corporation.21.html,21.0,Định chế tài chính,Doanh nghiệp,Cập nhật,BBB+,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
Saigon Ratings,03/09/2026,2026-09-03,Công ty Cổ phần Phát triển Bất động sản Hưng Long,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,AA-,4.0,Ổn định,False,False,False,False,,HULL12603,,,https://saigonratings.com/xhtp-hull12603-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnAA-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,28/08/2026,2026-08-28,Công ty Cổ phần Vinhomes,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,AA+,2.0,Ổn định,False,False,False,False,,VHML12617,,,https://saigonratings.com/xhtp-vhml12617-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnAA+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
FiinRatings,27/08/2026,2026-08-27,Công ty TNHH KN Cam Ranh,Quốc gia,,Bất động sản,Công cụ nợ,Lần đầu,A,6.0,Ổn định,False,False,False,False,,KNCL12602,,,https://cms.fiinratings.vn//UploadFile/27-08-2026/%5BVI%5D_FiinRatings_KNCamRanh_Bond_KNCL12602_signed_02.pdf,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-kn-caa-ranh-id10910.html,10910.0,,XHTN Công cụ nợ,XHTN Lần đầu,A,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
Saigon Ratings,27/08/2026,2026-08-27,Công ty Cổ phần Dịch vụ Cao ốc Masterise Lumiere Office,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,BB+,11.0,Ổn định,False,False,False,False,,MLOL12601,,,https://saigonratings.com/xhtp-mlol12601-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnBB+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,27/08/2026,2026-08-27,Công ty Cổ phần Phát triển Hạ tầng và Bất động sản Thái Bảo,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,BB+,11.0,Ổn định,False,False,False,False,,TBEL12601,,,https://saigonratings.com/xhtp-tbel12601-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnBB+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,27/08/2026,2026-08-27,Công ty Cổ phần Đầu tư Địa ốc Đại Quang Minh,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,A+,5.0,Ổn định,False,False,False,False,,DQML12601,,,https://saigonratings.com/xhtp-dqml12601-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnA+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Fitch Ratings,26/08/2026,2026-08-26,Vietnam Electricity,Quốc tế,,,Tổ chức phát hành,Giữ nguyên,BB+,11.0,Ổn định,False,False,False,False,,,Dài hạn,Long Term Issuer Default Rating,,,,https://www.fitchratings.com/entity/vietnam-electricity-96630179,96630179.0,,Tổ chức phát hành,Affirmed,BB+,Stable,2026-09-20 08:48:11,fitch_xhtn_20260920.csv
Saigon Ratings,26/08/2026,2026-08-26,Công ty Cổ phần Phát triển Bất động sản Hưng Long,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,BB,12.0,Ổn định,False,False,False,False,,HULL12602,,,https://saigonratings.com/xhtp-hull12602-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnBB,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,26/08/2026,2026-08-26,Công ty Cổ phần Phát triển Hạ tầng và Bất động sản Thái Bảo,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Lần đầu,BB,12.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/xhtn-thai_bao-2026/,,,,,,Tổ chức phát hành,Xếp hạng lần đầu,vnBB,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
VIS Rating,26/08/2026,2026-08-26,Công ty Cổ phần Tập đoàn Trường Hải,Quốc gia,Doanh nghiệp,,Công cụ nợ,Lần đầu,A+,5.0,Ổn định,False,False,False,False,,,Dài hạn,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-26082026.172.html,https://visrating.com/rating-results/report/rating-announcement-26082026.172.html,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-tap-doan-truong-hai.41.html,41.0,Doanh nghiệp,Công cụ nợ,Xếp hạng lần đầu,A+,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
Saigon Ratings,25/08/2026,2026-08-25,Công ty TNHH Đầu tư Kinh doanh và Phát triển Thành Quang,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,BBB-,10.0,Ổn định,False,False,False,False,,TQDL12601,,,https://saigonratings.com/xhtntp-tqdl12601-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnBBB-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
FiinRatings,24/08/2026,2026-08-24,Công ty TNHH KN Cam Ranh,Quốc gia,,Bất động sản,Công cụ nợ,Lần đầu,AA+,2.0,Ổn định,False,False,False,False,,KNCL12601,,,https://cms.fiinratings.vn//UploadFile/24-08-2026/%5BVI%5D_FiinRatings_KNCL12601_Bond_Rating_082026.pdf,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-kn-caa-ranh-id10910.html,10910.0,,XHTN Công cụ nợ,XHTN Lần đầu,AA+,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
Saigon Ratings,24/08/2026,2026-08-24,Công ty Cổ phần Vinhomes,Quốc gia,,Phát triển Bất động sản,Công cụ nợ,Lần đầu,AA+,2.0,Ổn định,False,False,False,False,,VHML12616,,,https://saigonratings.com/xhtp-vhml12616-2026/,,,,,,Công cụ nợ,Xếp hạng lần đầu,vnAA+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,21/08/2026,2026-08-21,Công ty Cổ phần Thương mại Xuất nhập khẩu Tam Tài Lộc,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Giám sát,BB-,13.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh6t-ttl-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBB-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Fitch Ratings,19/08/2026,2026-08-19,Petrovietnam Refining and Petrochemical Corporation,Quốc tế,,,Tổ chức phát hành,Giữ nguyên,BB+,11.0,Ổn định,False,False,False,False,,,Dài hạn,Long Term Issuer Default Rating,,,,https://www.fitchratings.com/entity/binh-son-refining-petrochemical-joint-stock-company-97506575,97506575.0,,Tổ chức phát hành,Affirmed,BB+,Stable,2026-09-20 08:48:11,fitch_xhtn_20260920.csv
Saigon Ratings,19/08/2026,2026-08-19,Công ty TNHH Đầu tư và Phát triển BĐS Trường Minh,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Giám sát,BB,12.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh-truong_minh-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBB,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,18/08/2026,2026-08-18,Công ty Cổ phần May - Diêm Sài Gòn,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Giám sát,BBB-,10.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh-may_diem-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBBB-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
FiinRatings,17/08/2026,2026-08-17,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,Quốc gia,,Bất động sản,Công cụ nợ,Lần đầu,A-,7.0,Ổn định,False,False,False,False,,KBCL12601,,,https://cms.fiinratings.vn//UploadFile/17-08-2026/VN_FR_KBC_Bond_Rating_Report_Aug2026_Scanned.pdf,https://cms.fiinratings.vn//UploadFile/17-08-2026/EN_FR_KBC_Bond_Rating_Report_Aug2026_Scanned.pdf,,https://fiinratings.vn/vi/ratings-fr/tong-cong-ty-phat-trien-do-thi-kinh-bac---ctcp-id3347.html,3347.0,,XHTN Công cụ nợ,XHTN Lần đầu,A-,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
Saigon Ratings,15/08/2026,2026-08-15,Công ty Cổ phần Sản xuất và Kinh doanh VinFast,Quốc gia,,Sản xuất ôtô,Tổ chức phát hành,Giám sát,BBB,9.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh-vinfast-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBBB,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,13/08/2026,2026-08-13,Công ty Cổ phần Đầu Tư và Phát triển Bất động sản Minh An,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Giám sát,BB+,11.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/ket-qua-giam-sat-xep-hang-cong-ty-co-phan-dau-tu-va-phat-trien-bat-dong-san-minh-an-nam-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBB+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,13/08/2026,2026-08-13,Công ty TNHH Đầu tư Marina Center,Quốc gia,,Cho thuê Bất động sản,Tổ chức phát hành,Giám sát,BBB+,8.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/en/ket-qua-giam-sat-xep-hang-cong-ty-tnhh-dau-tu-marina-center-nam-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBBB+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,09/08/2026,2026-08-09,Công ty TNHH Allgreen-Vượng Thành-Trùng Dương,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Giám sát,,,,False,False,True,False,,,,,https://saigonratings.com/ket-qua-giam-sat-xep-hang-cong-ty-tnhh-allgreen-vuong-thanh-trung-duong-nam-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,Bảo mật,Bảo mật,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,03/08/2026,2026-08-03,Công ty Cổ phần Đầu tư MST,Quốc gia,,Xây dựng - Phát triển Bất động sản,Tổ chức phát hành,Lần đầu,BB+,11.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/xhtn-mst-2026/,,,,,,Tổ chức phát hành,Xếp hạng lần đầu,vnBB+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,28/07/2026,2026-07-28,Công ty Cổ phần Dịch vụ Cao ốc Masterise Lumiere Office,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Lần đầu,BB+,11.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/xhtn-mlo-2026/,,,,,,Tổ chức phát hành,Xếp hạng lần đầu,vnBB+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
Saigon Ratings,28/07/2026,2026-07-28,Công ty TNHH Đầu tư Kinh doanh và Phát triển Thành Quang,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Lần đầu,BBB-,10.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/ket-qua-xep-hang-cong-ty-tnhh-dau-tu-kinh-doanh-va-phat-trien-thanh-quang/,,,,,,Tổ chức phát hành,Xếp hạng lần đầu,vnBBB-,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
VIS Rating,24/07/2026,2026-07-24,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Quốc gia,Doanh nghiệp,,Công cụ nợ,Lần đầu,A,6.0,Ổn định,False,False,False,False,,BCML12601,Dài hạn,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-bcm12601-24072026.171.html,https://visrating.com/rating-results/report/rating-announcement-bcm12601-24072026.171.html,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/tap-doan-dau-tu-va-phat-trien-cong-nghiep-becamex-ctcp.19.html,19.0,Doanh nghiệp,Công cụ nợ,Xếp hạng lần đầu,A,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
VIS Rating,24/07/2026,2026-07-24,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Quốc gia,Doanh nghiệp,,Tổ chức phát hành,Cập nhật,A,6.0,Ổn định,False,False,False,False,,,Dài hạn,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-becamex-24072026.170.html,https://visrating.com/rating-results/report/rating-announcement-becamex-24072026.170.html,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/tap-doan-dau-tu-va-phat-trien-cong-nghiep-becamex-ctcp.19.html,19.0,Doanh nghiệp,Doanh nghiệp,Cập nhật,A,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
VIS Rating,23/07/2026,2026-07-23,Công ty Cổ phần Container Việt Nam,Quốc gia,Doanh nghiệp,,Công cụ nợ,Lần đầu,A,6.0,Ổn định,False,False,False,False,,VSCL12601,Dài hạn,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-23072026.169.html,https://visrating.com/rating-results/report/rating-announcement-23072026.169.html,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-container-viet-nam.50.html,50.0,Doanh nghiệp,Công cụ nợ,Xếp hạng lần đầu,A,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
VIS Rating,23/07/2026,2026-07-23,Công ty Cổ phần Container Việt Nam,Quốc gia,Doanh nghiệp,,Tổ chức phát hành,Lần đầu,A,6.0,Ổn định,False,False,False,False,,,Dài hạn,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-viconship-23072026.168.html,https://visrating.com/rating-results/report/rating-announcement-viconship-23072026.168.html,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-container-viet-nam.50.html,50.0,Doanh nghiệp,Doanh nghiệp,Xếp hạng lần đầu,A,Ổn định,2026-09-20 08:47:45,visrating_xhtn_20260920.csv
Saigon Ratings,22/07/2026,2026-07-22,Công ty TNHH Đầu tư & Phát triển Bất động sản Hải Đăng,Quốc gia,,Phát triển Bất động sản,Tổ chức phát hành,Giám sát,BB+,11.0,Ổn định,False,False,False,False,,,,,https://saigonratings.com/gsxh-haidang-2026/,,,,,,Tổ chức phát hành,Giám sát Xếp hạng,vnBB+,Ổn định,2026-09-20 08:47:49,saigonratings_xhtn_20260920.csv
FiinRatings,21/07/2026,2026-07-21,Công ty Cổ Phần Nhựa Hoa Sen,Quốc gia,,Nhựa,Tổ chức phát hành,Cập nhật,BBB+,8.0,Ổn định,False,False,False,False,,,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nhua-hoa-sen-id1057.html,1057.0,,XHTN Tổ chức phát hành,Cập nhật kết quả XHTN,BBB+,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
FiinRatings,20/07/2026,2026-07-20,Công ty Cổ phần Xây dựng và Năng lượng VCP,Quốc gia,,Điện,Công cụ nợ,Cập nhật,A-,7.0,Ổn định,False,False,False,False,,VCP12501,,,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-va-nang-luong-vcp-id3865.html,3865.0,,XHTN Công cụ nợ,Cập nhật kết quả XHTN,A-,Ổn định,2026-09-20 08:47:39,fiinratings_xhtn_20260920.csv
